"Identity","SamAccountName","DisplayName","ObjectClass","EmployeeId","EmployeeNumber","UserPrincipalName","Mail","Department","Title","Company","Office","AccountEnabled","Manager","ManagerLevel1","ManagerLevel2","ObsPath","ObsAttribute","DistinguishedName"
"LAB\SSUser00075","SSUser00075","ShareSurfer User 00075","user","E0000075","0000075","SSUser00075@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.UNIT241","info","CN=ShareSurfer User 00075,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0075-Readers","SS-ENT-0075-Readers","SS-ENT-0075-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0075.READ","info","CN=SS-ENT-0075-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00076","SSUser00076","ShareSurfer User 00076","user","E0000076","0000076","SSUser00076@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.HR.UNIT001","info","CN=ShareSurfer User 00076,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0076-Readers","SS-ENT-0076-Readers","SS-ENT-0076-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0076.READ","info","CN=SS-ENT-0076-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00077","SSUser00077","ShareSurfer User 00077","user","E0000077","0000077","SSUser00077@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.LEGAL.UNIT011","info","CN=ShareSurfer User 00077,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0077-Readers","SS-ENT-0077-Readers","SS-ENT-0077-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0077.READ","info","CN=SS-ENT-0077-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00078","SSUser00078","ShareSurfer User 00078","user","E0000078","0000078","SSUser00078@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.SALES.UNIT021","info","CN=ShareSurfer User 00078,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0078-Readers","SS-ENT-0078-Readers","SS-ENT-0078-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0078.READ","info","CN=SS-ENT-0078-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00079","SSUser00079","ShareSurfer User 00079","user","E0000079","0000079","SSUser00079@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.MKT.UNIT031","info","CN=ShareSurfer User 00079,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0079-Readers","SS-ENT-0079-Readers","SS-ENT-0079-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0079.READ","info","CN=SS-ENT-0079-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00080","SSUser00080","ShareSurfer User 00080","user","E0000080","0000080","SSUser00080@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.RISK.UNIT041","info","CN=ShareSurfer User 00080,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0080-Readers","SS-ENT-0080-Readers","SS-ENT-0080-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0080.READ","info","CN=SS-ENT-0080-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00081","SSUser00081","ShareSurfer User 00081","user","E0000081","0000081","SSUser00081@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.UNIT051","info","CN=ShareSurfer User 00081,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0081-Readers","SS-ENT-0081-Readers","SS-ENT-0081-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0081.READ","info","CN=SS-ENT-0081-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00082","SSUser00082","ShareSurfer User 00082","user","E0000082","0000082","SSUser00082@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.ENG.UNIT061","info","CN=ShareSurfer User 00082,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0082-Readers","SS-ENT-0082-Readers","SS-ENT-0082-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0082.READ","info","CN=SS-ENT-0082-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00083","SSUser00083","ShareSurfer User 00083","user","E0000083","0000083","SSUser00083@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.UNIT071","info","CN=ShareSurfer User 00083,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0083-Readers","SS-ENT-0083-Readers","SS-ENT-0083-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0083.READ","info","CN=SS-ENT-0083-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00084","SSUser00084","ShareSurfer User 00084","user","E0000084","0000084","SSUser00084@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.HR.UNIT081","info","CN=ShareSurfer User 00084,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0084-Readers","SS-ENT-0084-Readers","SS-ENT-0084-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0084.READ","info","CN=SS-ENT-0084-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00085","SSUser00085","ShareSurfer User 00085","user","E0000085","0000085","SSUser00085@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.LEGAL.UNIT091","info","CN=ShareSurfer User 00085,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0085-Readers","SS-ENT-0085-Readers","SS-ENT-0085-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0085.READ","info","CN=SS-ENT-0085-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00086","SSUser00086","ShareSurfer User 00086","user","E0000086","0000086","SSUser00086@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.SALES.UNIT101","info","CN=ShareSurfer User 00086,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0086-Readers","SS-ENT-0086-Readers","SS-ENT-0086-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0086.READ","info","CN=SS-ENT-0086-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00087","SSUser00087","ShareSurfer User 00087","user","E0000087","0000087","SSUser00087@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.MKT.UNIT111","info","CN=ShareSurfer User 00087,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0087-Readers","SS-ENT-0087-Readers","SS-ENT-0087-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0087.READ","info","CN=SS-ENT-0087-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00088","SSUser00088","ShareSurfer User 00088","user","E0000088","0000088","SSUser00088@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.RISK.UNIT121","info","CN=ShareSurfer User 00088,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0088-Readers","SS-ENT-0088-Readers","SS-ENT-0088-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0088.READ","info","CN=SS-ENT-0088-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00089","SSUser00089","ShareSurfer User 00089","user","E0000089","0000089","SSUser00089@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.UNIT131","info","CN=ShareSurfer User 00089,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0089-Readers","SS-ENT-0089-Readers","SS-ENT-0089-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0089.READ","info","CN=SS-ENT-0089-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00090","SSUser00090","ShareSurfer User 00090","user","E0000090","0000090","SSUser00090@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.ENG.UNIT141","info","CN=ShareSurfer User 00090,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0090-Readers","SS-ENT-0090-Readers","SS-ENT-0090-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0090.READ","info","CN=SS-ENT-0090-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00091","SSUser00091","ShareSurfer User 00091","user","E0000091","0000091","SSUser00091@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.UNIT151","info","CN=ShareSurfer User 00091,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0091-Readers","SS-ENT-0091-Readers","SS-ENT-0091-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0091.READ","info","CN=SS-ENT-0091-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00092","SSUser00092","ShareSurfer User 00092","user","E0000092","0000092","SSUser00092@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.HR.UNIT161","info","CN=ShareSurfer User 00092,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0092-Readers","SS-ENT-0092-Readers","SS-ENT-0092-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0092.READ","info","CN=SS-ENT-0092-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00093","SSUser00093","ShareSurfer User 00093","user","E0000093","0000093","SSUser00093@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.LEGAL.UNIT171","info","CN=ShareSurfer User 00093,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0093-Readers","SS-ENT-0093-Readers","SS-ENT-0093-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0093.READ","info","CN=SS-ENT-0093-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00094","SSUser00094","ShareSurfer User 00094","user","E0000094","0000094","SSUser00094@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.SALES.UNIT181","info","CN=ShareSurfer User 00094,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0094-Readers","SS-ENT-0094-Readers","SS-ENT-0094-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0094.READ","info","CN=SS-ENT-0094-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00095","SSUser00095","ShareSurfer User 00095","user","E0000095","0000095","SSUser00095@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.MKT.UNIT191","info","CN=ShareSurfer User 00095,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0095-Readers","SS-ENT-0095-Readers","SS-ENT-0095-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0095.READ","info","CN=SS-ENT-0095-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00096","SSUser00096","ShareSurfer User 00096","user","E0000096","0000096","SSUser00096@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.RISK.UNIT201","info","CN=ShareSurfer User 00096,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0096-Readers","SS-ENT-0096-Readers","SS-ENT-0096-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0096.READ","info","CN=SS-ENT-0096-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00097","SSUser00097","ShareSurfer User 00097","user","E0000097","0000097","SSUser00097@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.UNIT211","info","CN=ShareSurfer User 00097,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0097-Readers","SS-ENT-0097-Readers","SS-ENT-0097-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0097.READ","info","CN=SS-ENT-0097-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00098","SSUser00098","ShareSurfer User 00098","user","E0000098","0000098","SSUser00098@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.ENG.UNIT221","info","CN=ShareSurfer User 00098,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0098-Readers","SS-ENT-0098-Readers","SS-ENT-0098-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0098.READ","info","CN=SS-ENT-0098-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00099","SSUser00099","ShareSurfer User 00099","user","E0000099","0000099","SSUser00099@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.UNIT231","info","CN=ShareSurfer User 00099,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0099-Readers","SS-ENT-0099-Readers","SS-ENT-0099-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0099.READ","info","CN=SS-ENT-0099-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00100","SSUser00100","ShareSurfer User 00100","user","E0000100","0000100","SSUser00100@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.HR.UNIT241","info","CN=ShareSurfer User 00100,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0100-Readers","SS-ENT-0100-Readers","SS-ENT-0100-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0100.READ","info","CN=SS-ENT-0100-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00101","SSUser00101","ShareSurfer User 00101","user","E0000101","0000101","SSUser00101@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.LEGAL.UNIT001","info","CN=ShareSurfer User 00101,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0101-Readers","SS-ENT-0101-Readers","SS-ENT-0101-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0101.READ","info","CN=SS-ENT-0101-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00102","SSUser00102","ShareSurfer User 00102","user","E0000102","0000102","SSUser00102@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.SALES.UNIT011","info","CN=ShareSurfer User 00102,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0102-Readers","SS-ENT-0102-Readers","SS-ENT-0102-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0102.READ","info","CN=SS-ENT-0102-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00103","SSUser00103","ShareSurfer User 00103","user","E0000103","0000103","SSUser00103@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.MKT.UNIT021","info","CN=ShareSurfer User 00103,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0103-Readers","SS-ENT-0103-Readers","SS-ENT-0103-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0103.READ","info","CN=SS-ENT-0103-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00104","SSUser00104","ShareSurfer User 00104","user","E0000104","0000104","SSUser00104@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.RISK.UNIT031","info","CN=ShareSurfer User 00104,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0104-Readers","SS-ENT-0104-Readers","SS-ENT-0104-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0104.READ","info","CN=SS-ENT-0104-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00105","SSUser00105","ShareSurfer User 00105","user","E0000105","0000105","SSUser00105@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.FIN.UNIT041","info","CN=ShareSurfer User 00105,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0105-Readers","SS-ENT-0105-Readers","SS-ENT-0105-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0105.READ","info","CN=SS-ENT-0105-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00106","SSUser00106","ShareSurfer User 00106","user","E0000106","0000106","SSUser00106@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.ENG.UNIT051","info","CN=ShareSurfer User 00106,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0106-Readers","SS-ENT-0106-Readers","SS-ENT-0106-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0106.READ","info","CN=SS-ENT-0106-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00107","SSUser00107","ShareSurfer User 00107","user","E0000107","0000107","SSUser00107@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.OPS.UNIT061","info","CN=ShareSurfer User 00107,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0107-Readers","SS-ENT-0107-Readers","SS-ENT-0107-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0107.READ","info","CN=SS-ENT-0107-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00108","SSUser00108","ShareSurfer User 00108","user","E0000108","0000108","SSUser00108@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.HR.UNIT071","info","CN=ShareSurfer User 00108,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0108-Readers","SS-ENT-0108-Readers","SS-ENT-0108-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0108.READ","info","CN=SS-ENT-0108-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00109","SSUser00109","ShareSurfer User 00109","user","E0000109","0000109","SSUser00109@example.test","","","","","","True","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Morgan Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.LEGAL.UNIT081","info","CN=ShareSurfer User 00109,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0109-Readers","SS-ENT-0109-Readers","SS-ENT-0109-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0109.READ","info","CN=SS-ENT-0109-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00110","SSUser00110","ShareSurfer User 00110","user","E0000110","0000110","SSUser00110@example.test","","","","","","True","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Parker Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.SALES.UNIT091","info","CN=ShareSurfer User 00110,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0110-Readers","SS-ENT-0110-Readers","SS-ENT-0110-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0110.READ","info","CN=SS-ENT-0110-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SSUser00111","SSUser00111","ShareSurfer User 00111","user","E0000111","0000111","SSUser00111@example.test","","","","","","True","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Quinn Manager,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CN=Riley Director,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com","CORP.MKT.UNIT101","info","CN=ShareSurfer User 00111,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
"LAB\SS-ENT-0111-Readers","SS-ENT-0111-Readers","SS-ENT-0111-Readers","group","","","","","","","","","","","","","CORP.ENT.SHARE0111.READ","info","CN=SS-ENT-0111-Readers,OU=ShareSurferLab,DC=lab,DC=contoso,DC=com"
